"model","comparison","beta","se","z","p_value","OR","CI_lower","CI_upper"
"Constructive","high-uptake vs low-uptake",-1.3834440088649,0.219091460418213,-6.31445883935464,2.71108465052742e-10,0.250713604592837,0.163187508472354,0.385184577645429
"Constructive","mixed-uptake vs low-uptake",-1.21770359742296,0.200746285142539,-6.06588359310528,1.31230156216777e-09,0.29590891327932,0.199656061294381,0.43856462153204
"Active","high-uptake vs low-uptake",1.19843440981949,0.223374874830001,5.36512627363107,8.08926073777096e-08,3.31492304708541,2.13961883803406,5.13582821985003
"Active","mixed-uptake vs low-uptake",0.809393251392559,0.206000368404173,3.92908642670253,8.52691914588314e-05,2.246544485329,1.50026228354356,3.36405319251339
"Passive","high-uptake vs low-uptake",1.60180188240105,0.567469718729382,2.82270900020469,0.00476197725635753,4.96196525188788,1.63163351816133,15.0898463943594
"Passive","mixed-uptake vs low-uptake",2.42309432197972,0.534875804894078,4.53019990773291,5.89279016160133e-06,11.2807115187022,3.95411578840533,32.1827835040464
