icap_level,comparison,group1,group2,prop1,prop2,n1_level,n1_total,n2_level,n2_total,z_statistic,p_raw,p_bonferroni,significant
Constructive,low-uptake vs high-uptake,low-uptake,high-uptake,0.6174863387978142,0.3097560975609756,678,1098,127,410,10.658309904591079,0.0,0.0,True
Constructive,low-uptake vs mixed-uptake,low-uptake,mixed-uptake,0.6174863387978142,0.33260869565217394,678,1098,306,920,12.751351388696307,0.0,0.0,True
Constructive,high-uptake vs mixed-uptake,high-uptake,mixed-uptake,0.3097560975609756,0.33260869565217394,127,410,306,920,-0.8213099317126494,0.4114697519728874,1.0,False
Active,low-uptake vs high-uptake,low-uptake,high-uptake,0.366120218579235,0.6390243902439025,402,1098,262,410,-9.498361197214857,0.0,0.0,True
Active,low-uptake vs mixed-uptake,low-uptake,mixed-uptake,0.366120218579235,0.5576086956521739,402,1098,513,920,-8.605973542764785,0.0,0.0,True
Active,high-uptake vs mixed-uptake,high-uptake,mixed-uptake,0.6390243902439025,0.5576086956521739,262,410,513,920,2.7804971360216237,0.005427573845646183,0.01628272153693855,True
Passive,low-uptake vs high-uptake,low-uptake,high-uptake,0.01639344262295082,0.05121951219512195,18,1098,21,410,-3.79101088193988,0.00015003537967084313,0.0004501061390125294,True
Passive,low-uptake vs mixed-uptake,low-uptake,mixed-uptake,0.01639344262295082,0.10978260869565218,18,1098,101,920,-8.869848437967763,0.0,0.0,True
Passive,high-uptake vs mixed-uptake,high-uptake,mixed-uptake,0.05121951219512195,0.10978260869565218,21,410,101,920,-3.4168216625540695,0.0006335676812445623,0.001900703043733687,True
