source,n,no_edit_pct,with_edit_pct,successful_pct,no_uptake_pct,unsuccessful_pct
Real learners,549,54.28051001821493,45.71948998178507,17.122040072859743,70.49180327868852,12.386156648451731
GPT-4o,549,0.0,100.0,75.40983606557377,16.57559198542805,8.014571948998178
GPT-4o-mini,549,0.0,100.0,76.50273224043715,17.66848816029144,5.828779599271402
Llama-3.1-70B,549,0.0,100.0,76.50273224043715,14.754098360655737,8.743169398907105
Claude-3.5-Sonnet,549,0.0,100.0,71.03825136612022,20.036429872495447,8.743169398907105
